아파트명,소재지도로명주소,소재지지번주소,위도,경도,층수,관리사무소전화번호,팩스번호,세대수,사업승인일,사용검사일,데이터기준일자
동성,"경기도 수원시 권선구 매곡로 100 (금곡동, 동성아파트)",경기도 수원시 권선구 금곡동 243,37.2709,126.956,16~20,031-295-8881,031-307-6712,219,1994-12-31,1999-06-25,2025-08-15
한일타운,"경기도 수원시 장안구 경수대로976번길 22 (조원동, 한일타운아파트)",경기도 수원시 장안구 조원동 891,37.3063,127.0047,16~24,031-244-0256,031-247-0965,5282,1996-05-10,1999-06-30,2025-08-15
삼익,"경기도 수원시 권선구 세지로 99 (세류동, 삼익아파트)",경기도 수원시 권선구 세류동 840,37.261,127.0176,11~12,031-223-1933,031-223-1934,344,1996-12-30,1999-07-15,2025-08-15
벽산·현대,"경기도 수원시 장안구 정자천로188번길 64 (정자동, 두견마을 현대·벽산아파트)",경기도 수원시 장안구 정자동 886-1,37.2932,126.9962,15~24,031-269-2297,031-269-2298,792,1996-11-23,1999-08-03,2025-08-15
원천주공1단지,"경기도 수원시 영통구 매영로 132 (매탄동, 수원 원천1단지 주공아파트)",경기도 수원시 영통구 매탄동 1230-4,37.2666,127.0566,18~20,031-216-2488,031-216-2489,702,1995-12-20,1999-08-10,2025-08-15
꽃뫼노을마을 장안,"경기도 수원시 장안구 덕영대로639번길 70 (정자동, 꽃뫼노을마을 장안아파트)",경기도 수원시 장안구 정자동 900-1,37.2909,126.99,16~20,031-269-8407,031-269-8409,188,1996-11-16,1999-08-17,2025-08-15
백설마을 현대.코오롱,"경기도 수원시 장안구 만석로68번길 10 (정자동, 백설마을 현대.코오롱아파트)",경기도 수원시 장안구 정자동 870-9,37.2967,126.9889,16~20,031-269-0401,031-306-0403,692,1996-11-30,1999-08-27,2025-08-15
화서역우방센트럴파크,"경기도 수원시 장안구 수성로245번길 21 (정자동, 두견마을 영남,우방,한솔아파트) ",경기도 수원시 장안구 정자동 887-1,37.2897,126.9988,16~22,031-269-0030,031-269-0567,1335,1991-01-08,1999-08-30,2025-08-15
원천레이크파크,"경기도 수원시 영통구 중부대로448번길 28 (원천동, 수원 원천2단지 주공아파트)",경기도 수원시 영통구 원천동 551,37.2671,127.0586,20,031-213-8262,031-213-8264,1835,1995-12-20,1999-09-12,2025-08-15
꽃뫼노을마을 풍림,"경기도 수원시 팔달구 수성로157번길 75 (화서동, 꽃뫼노을마을 풍림아파트)",경기도 수원시 팔달구 화서동 674-1,37.2894,126.9877,20,031-269-3663,031-8001-3663,275,1997-06-01,1999-09-17,2025-08-15
극동.풍림,"경기도 수원시 영통구 봉영로1517번길 30 (영통동, 극동.풍림 아파트)",경기도 수원시 영통구 영통동 967-2,37.2503,127.0676,17~20,031-205-5010,031-205-5052,776,1996-10-29,1999-09-30,2025-08-15
꽃뫼노을마을 신안,"경기도 수원시 장안구 대평로51번길 22 (정자동, 꽃뫼노을마을신안아파트)",경기도 수원시 장안구 정자동 883-6,37.2931,126.9937,17~20,031-269-5021,031-269-5022,358,1997-01-29,1999-10-01,2025-08-15
성지.동양고속,"경기도 수원시 장안구 정자천로133번길 26 (정자동, 백설마을 성지, 동양고속아파트)",경기도 수원시 장안구 정자동 879-8,37.2951,126.9911,17~20,031-269-6901,031-269-6902,576,1996-11-22,1999-10-21,2025-08-15
탑동우방파크타운,"경기도 수원시 권선구 효탑로 50 (탑동, 수원탑동우방파크타운)",경기도 수원시 권선구 탑동 860,37.2682,126.9735,8~13,031-295-6829,031-296-6828,458,1997-08-11,1999-10-29,2025-08-15
성원,"경기도 수원시 권선구 일월천로4번길 74 (구운동, 성원아파트)",경기도 수원시 권선구 구운동 893,37.2836,126.9757,9~18,031-298-7007,031-298-7030,458,1996-11-22,1999-10-29,2025-08-15
꽃뫼버들마을 신동아,"경기도 수원시 팔달구 화산로 24 (화서동, 꽃뫼버들마을 신동아아파트)",경기도 수원시 팔달구 화서동 684-2,37.2874,126.9866,22~25,031-298-5758,031-307-0094,332,1996-01-05,1999-10-30,2025-08-15
코오롱하늘채,"경기도 수원시 권선구 일월천로16번길 39 (구운동, 코오롱하늘채아파트)",경기도 수원시 권선구 구운동 890,37.2852,126.9751,16~21,031-292-6284,031-292-6285,676,1996-11-22,1999-11-01,2025-08-15
연꽃마을 풍림,"경기도 수원시 장안구 정자천로189번길 47 (정자동, 연꽃마을 풍림아파트)",경기도 수원시 장안구 정자동 872-1,37.2984,126.9924,16~21,031-269-0611,031-269-0612,792,1996-12-09,1999-11-02,2025-08-15
벽적골주공9단지,"경기도 수원시 영통구 봉영로1517번길 27 (영통동, 벽적골9단지 주공아파트)",경기도 수원시 영통구 영통동 970-4,37.2481,127.0672,20,031-202-4147,031-202-4149,1265,1997-03-31,1999-11-10,2025-08-15
백설마을 삼환.나우빌,"경기도 수원시 장안구 천천로22번길 34 (정자동, 백설마을 삼환 나우빌 아파트)",경기도 수원시 장안구 정자동 880-3,37.2942,126.9895,17~23,031-269-8001,031-269-8002,772,1996-11-30,1999-11-25,2025-08-15
평동동남,"경기도 수원시 권선구 권선로436번길 21 (평동, 평동동남아파트)",경기도 수원시 권선구 평동 151,37.2622,127.0001,11~13,031-295-8950,031-291-8950,489,1997-11-19,1999-11-27,2025-08-15
대한대우,"경기도 수원시 팔달구 권선로 477 (매산로2가, 대한대우아파트)",경기도 수원시 팔달구 매산로2가 90-5,37.2646,127.0034,12,031-309-9983,031-309-9982,1293,1997-10-02,1999-12-14,2025-08-15
신원미주,"경기도 수원시 영통구 매영로310번길 27 (영통동, 신원미주아파트) ",경기도 수원시 영통구 영통동 965-2,37.2523,127.0662,17~20,031-204-7665,031-205-7665,574,1996-11-19,1999-12-30,2025-08-15
백설마을 효성,"경기도 수원시 장안구 정자천로133번길 21 (정자동, 백설마을 효성아파트)",경기도 수원시 장안구 정자동 880-2,37.2936,126.9907,23,031-269-5495,031-269-5496,262,1996-11-30,2000-01-21,2025-08-15
거산,"경기도 수원시 권선구 고현로5번길 25 (고색동, 거산아파트)",경기도 수원시 권선구 고색동 306-1,37.2479,126.9861,15~16,031-297-7225,031-295-7225,323,1995-11-01,2000-05-10,2025-08-15
상우,"경기도 수원시 권선구 매송고색로 751-17 (고색동, 상우아파트)",경기도 수원시 권선구 고색동 5-4,37.2535,126.9859,6~13,031-298-6116,031-227-7488,199,1996-05-18,2000-05-13,2025-08-15
우남(1차),"경기도 수원시 권선구 덕영대로1323번길 25-33 (권선동, 우남아파트)",경기도 수원시 권선구 권선동 1315,37.2476,127.034,13,031-226-2096,031-226-2095,290,1998-06-25,2000-06-07,2025-08-15
연꽃마을 벽산,"경기도 수원시 장안구 정자천로189번길 40 (정자동, 연꽃마을 벽산아파트)",경기도 수원시 장안구 정자동 873-3,37.2981,126.9953,16~25,031-268-0497,031-305-0497,392,1997-05-13,2000-06-29,2025-08-15
망포늘푸른벽산,"경기도 수원시 영통구 영통로90번길 4-27 (망포동, 늘푸른 벽산아파트)",경기도 수원시 영통구 망포동 677-77,37.2389,127.0605,17~20,031-206-5022,031-206-5023,1380,1997-06-30,2000-06-30,2025-08-15
건영2차,"경기도 수원시 영통구 매영로 346 (영통동, 신나무실 건영아파트)",경기도 수원시 영통구 영통동 966-4,37.2515,127.0703,17,031-204-8247,031-205-8248,470,2000-07-20,2000-07-20,2025-08-15
권선대우,"경기도 수원시 권선구 동탄원천로813번길 16 (권선동, 권선대우아파트)",경기도 수원시 권선구 권선동 1305,37.2485,127.0388,14~15,031-221-5665,031-222-7753,358,1998-07-31,2000-07-25,2025-08-15
꽃뫼노을마을 대동,"경기도 수원시 장안구 대평로39번길 8 (정자동, 꽃뫼노을마을 대동아파트)",경기도 수원시 장안구 정자동 888-3,37.292,126.9942,16~23,031-268-0090,031-308-0099,292,1996-11-26,2000-07-26,2025-08-15
우남(2차),"경기도 수원시 권선구 덕영대로1323번길 26-7 (권선동, 우남아파트)",경기도 수원시 권선구 권선동 1320,37.2474,127.0367,15,031-233-2386,031-233-2387,179,1998-09-25,2000-08-09,2025-08-15
두견마을 3차 벽산,"경기도 수원시 장안구 정자천로188번길 28 (정자동, 두견마을 3차 벽산아파트)",경기도 수원시 장안구 정자동 884-5,37.295,126.9956,25,031-268-0121,031-306-0121,389,1996-11-22,2000-08-16,2025-08-15
현대,"경기도 수원시 권선구 세권로316번길 49 (권선동, 현대아파트)",경기도 수원시 권선구 권선동 1306,37.2494,127.0374,12~15,031-221-7877,031-221-7992,253,1998-09-24,2000-09-22,2025-08-15
오목천청구1차,"경기도 수원시 권선구 오목천로39번길 8 (오목천동, 청구1차 아파트)",경기도 수원시 권선구 오목천동 542,37.2406,126.9674,15~18,031-298-0021,031-302-0022,314,1997-03-29,2000-10-15,2025-08-15
꽃뫼노을마을 한마루,"경기도 수원시 장안구 덕영대로639번길 63 (정자동, 꽃뫼노을마을한마루아파트)",경기도 수원시 장안구 정자동 881-4,37.2911,126.9887,21~25,031-268-0336,031-268-6330,291,1997-10-11,2000-10-26,2025-08-15
삼성,"경기도 수원시 권선구 곡선로50번길 73 (곡반정동, 삼성 아파트)",경기도 수원시 권선구 곡반정동 580,37.2353,127.0282,13~15,031-308-3462,031-308-3461,442,1998-10-27,2000-10-27,2025-08-15
한솔,"경기도 수원시 권선구 동수원로58번길 21 (곡반정동, 한솔아파트)",경기도 수원시 권선구 곡반정동 579,37.2358,127.0267,9~15,031-234-4371,031-236-4317,391,1998-06-11,2000-11-17,2025-08-15
꽃뫼노을마을 한국,"경기도 수원시 장안구 대평로51번길 56 (정자동, 꽃뫼노을마을한국아파트)",경기도 수원시 장안구 정자동 882-5,37.2922,126.9918,16~23,031-268-0009,031-268-2164,530,1997-02-19,2000-12-15,2025-08-15
일월청구,"경기도 수원시 권선구 수성로35번길 60 (구운동, 일월 청구 아파트)",경기도 수원시 권선구 구운동 889,37.2857,126.9767,12~23,031-227-5004,031-304-5003,524,1996-11-22,2001-03-12,2025-08-15
대림,"경기도 수원시 권선구 덕영대로1323번길 26-31 (권선동, 대림아파트)",경기도 수원시 권선구 권선동 1321,37.2472,127.038,14~15,031-222-7546,031-222-7534,322,1999-01-29,2001-03-29,2025-08-15
권선3지구 주공1단지,"경기도 수원시 권선구 덕영대로1323번길 25-30 (권선동, 권선3지구 주공1단지) ",경기도 수원시 권선구 권선동 1314-1,37.2481,127.0338,12~14,031-306-9090,031-306-9091,397,1990-09-30,2001-05-03,2025-08-15
엘지,"경기도 수원시 팔달구 정자천로32번길 20 (화서동, 한독.LG아파트)",경기도 수원시 팔달구 화서동 713,37.2881,126.98,15,031-298-4276,031-304-4276,665,1996-04-12,2001-05-12,2025-08-15
비단마을 영풍마드레빌,"경기도 수원시 장안구 덕영대로535번길 67 (천천동, 비단마을 영풍마드레빌)",경기도 수원시 장안구 천천동 537,37.2981,126.9833,12~15,031-268-0303,031-304-0303,212,1999-05-25,2001-05-25,2025-08-15
 CJ,"경기도 수원시 팔달구 경수대로565번길 26 (인계동, CJ아파트)",경기도 수원시 팔달구 인계동 209-7,37.2767,127.0287,15,031-237-3833,031-237-3834,211,1999-06-10,2001-05-29,2025-08-15
권선5단지 상록,"경기도 수원시 권선구 세권로304번길 47 (권선동, 권선5단지 상록아파트)",경기도 수원시 권선구 권선동 1298,37.2499,127.0363,12~15,031-226-8234,031-304-8234,256,1999-05-04,2001-06-15,2025-08-15
꽃뫼양지마을 대우,"경기도 수원시 팔달구 수성로101번길 20 (화서동, 꽃뫼양지마을 (대우아파트))",경기도 수원시 팔달구 화서동 703,37.2848,126.9848,15,031-298-2021,031-305-2024,236,1999-06-04,2001-06-26,2025-08-15
청솔마을 한라,"경기도 수원시 장안구 만석로20번길 28 (정자동, 청솔마을 한라 아파트)",경기도 수원시 장안구 정자동 921,37.2939,126.9844,18~23,031-268-2214,031-268-2215,845,1999-01-29,2001-07-30,2025-08-15
백설주공1단지,"경기도 수원시 장안구 대평로89번길 32 (정자동, 백설마을 주공아파트)",경기도 수원시 장안구 정자동 871-4,37.2958,126.9912,18~24,031-268-3081,031-268-3082,348,1998-06-19,2001-08-06,2025-08-15
백설주공2단지,"경기도 수원시 장안구 대평로89번길 10 (정자동, 백설마을 주공아파트)",경기도 수원시 장안구 정자동 871-3,37.2962,126.992,18~24,031-305-9081,031-305-9082,341,1998-05-19,2001-08-06,2025-08-15
매탄권선역 리버파크,"경기도 수원시 권선구 세권로 334 (권선동, 매탄권선역 리버파크)",경기도 수원시 권선구 권선동 1304,37.2506,127.0402,15~19,031-237-9081,031-237-9082,582,1998-09-30,2001-08-10,2025-08-15
권선3단지 상록,"경기도 수원시 권선구 세권로316번길 15 (권선동, 권선3단지 상록아파트) ",경기도 수원시 권선구 권선동 1303,37.2507,127.038,15~20,031-238-5384,031-302-5384,468,2001-06-15,2001-09-17,2025-08-15
권선3지구 써미트빌,"경기도 수원시 권선구 덕영대로1323번길 26-24 (권선동, 권선3지구 써미트빌)",경기도 수원시 권선구 권선동 1323,37.2466,127.0371,12~15,031-235-7291,031-235-7286,223,1999-07-26,2001-09-19,2025-08-15
영통삼성래미안,"경기도 수원시 영통구 청명북로 33 (영통동, 청명마을삼성아파트)",경기도 수원시 영통구 영통동 1046-1,37.2545,127.08,20,031-273-6047,031-273-6049,714,1997-10-15,2001-10-30,2025-08-15
대월마을 대림진흥,"경기도 수원시 장안구 천천로74번길 92 (정자동, 대월마을대림진흥아파트)",경기도 수원시 장안구 정자동 914,37.3006,126.9882,20~24,031-268-4685,031-268-4686,534,1999-06-14,2001-11-09,2025-08-15
비단마을 베스트타운,"경기도 수원시 장안구 정자로42번길 52 (천천동, 비단마을 베스트타운)",경기도 수원시 장안구 천천동 536,37.2988,126.9816,15~25,031-268-2024,031-304-2024,1032,1999-05-25,2001-11-22,2025-08-15
비단마을 신명,"경기도 수원시 장안구 정자로41번길 12 (천천동, 비단마을 신명아파트)",경기도 수원시 장안구 천천동 482-2,37.3012,126.982,16~24,031-268-5031,031-268-5030,594,1999-05-19,2001-11-22,2025-08-15
조원주공뉴타운1단지,"경기도 수원시 장안구 금당로39번길 33 (조원동, 주공뉴타운)",경기도 수원시 장안구 조원동 856,37.3045,127.0152,20~23,031-258-9082,031-258-9083,768,1999-04-26,2001-11-30,2025-08-15
화서성원상떼빌,"경기도 수원시 팔달구 장안로5번길 45 (화서동, 화서 성원상떼빌)",경기도 수원시 팔달구 화서동 11-11,37.2856,127.0049,17,031-302-5577,031-268-5577,508,1997-09-09,2001-12-04,2025-08-15
동수원자이1차,"경기도 수원시 영통구 태장로82번길 32 (망포동, 동수원자이1차)",경기도 수원시 영통구 망포동 688-3,37.2363,127.0529,23,031-273-0764,031-273-0766,1829,1999-06-24,2001-12-05,2025-08-15
매탄주공그린빌6단지,"경기도 수원시 영통구 동탄원천로881번길 19 (매탄동, 주공그린빌)",경기도 수원시 영통구 매탄동 1350,37.2537,127.0423,13~20,031-217-9081,031-217-9082,710,1998-12-26,2001-12-11,2025-08-15
조원주공뉴타운2단지,"경기도 수원시 장안구 금당로39번길 34 (조원동, 주공뉴타운)",경기도 수원시 장안구 조원동 862,37.3044,127.0178,18~23,031-258-9071,031-258-9074,1586,1996-12-24,2001-12-19,2025-08-15
매탄주공그린빌1단지,"경기도 수원시 영통구 매탄로126번길 22 (매탄동, 주공그린빌)",경기도 수원시 영통구 매탄동 1316,37.2614,127.0452,13~18,031-215-0178,031-308-0178,659,1999-10-15,2001-12-20,2025-08-15
매탄주공그린빌2단지,"경기도 수원시 영통구 매탄로126번길 66 (매탄동, 주공그린빌)",경기도 수원시 영통구 매탄동 1317,37.2609,127.0479,18,031-217-9083,031-217-9084,568,1999-06-30,2001-12-20,2025-08-15
꽃뫼버들마을 진흥,"경기도 수원시 팔달구 화산로 57 (화서동, 꽃뫼버들마을 진흥아파트)",경기도 수원시 팔달구 화서동 706,37.29,126.9835,16~25,031-298-6885,031-298-6886,824,1999-09-10,2002-01-17,2025-08-15
청솔마을 SK한화,"경기도 수원시 장안구 만석로20번길 25 (정자동, 청솔마을 SK한화아파트)",경기도 수원시 장안구 정자동 918-2,37.2953,126.9849,16~25,031-268-4436,031-268-4437,520,1999-05-25,2002-01-21,2025-08-15
우남퍼스트빌,"경기도 수원시 영통구 매탄로 82 (매탄동, 우남퍼스트빌)",경기도 수원시 영통구 매탄동 1335,37.2583,127.043,16~18,031-216-2244,031-216-3117,456,2000-02-17,2002-01-29,2025-08-15
비단마을 현대성우우방,"경기도 수원시 장안구 만석로 29 (천천동, 비단마을현대성우.우방아파트)",경기도 수원시 장안구 천천동 531-2,37.2962,126.9854,16~23,031-268-6068,031-268-6069,501,1999-07-01,2002-02-22,2025-08-15
꽃뫼버들마을 코오롱,"경기도 수원시 팔달구 일월로18번길 4-26 (화서동, 꽃뫼버들마을 코오롱아파트)",경기도 수원시 팔달구 화서동 730,37.2848,126.9816,24,031-307-0033,031-307-0032,538,1999-05-12,2002-03-11,2025-08-15
영통롯데,"경기도 수원시 영통구 덕영대로1555번길 20 (영통동, 벽적골롯데아파트)",경기도 수원시 영통구 영통동 971-2,37.2467,127.0622,20,031-273-5936,031-273-7868,1040,1996-12-31,2002-03-30,2025-08-15
꽃뫼버들마을 금강,"경기도 수원시 팔달구 정자천로32번길 27 (화서동, 꽃뫼버들마을 금강 아파트)",경기도 수원시 팔달구 화서동 709,37.2885,126.9826,16~25,031-227-4811,031-227-4812,312,1999-11-19,2002-04-19,2025-08-15
곡반정 현대아이파크,"경기도 수원시 권선구 곡선로50번길 48 (곡반정동, 곡반정 현대 아이파크)",경기도 수원시 권선구 곡반정동 578,37.2371,127.0286,10~15,031-231-8823,031-231-8824,484,2002-04-01,2002-04-25,2025-08-15
천천삼성래미안,"경기도 수원시 장안구 화산로187번길 19 (천천동, 천천 삼성래미안)",경기도 수원시 장안구 천천동 544,37.298,126.9757,23,031-306-3050,031-306-3051,876,2000-02-21,2002-04-26,2025-08-15
동수원쌍용스윗닷홈1차,"경기도 수원시 영통구 영통로173번길 37 (망포동, 망포역마을 쌍용아파트)",경기도 수원시 영통구 망포동 692-2,37.2433,127.0533,12~24,031-273-6831,031-273-6830,531,1999-10-21,2002-04-27,2025-08-15
매탄주공그린빌3단지,"경기도 수원시 영통구 동탄원천로915번길 36 (매탄동, 주공그린빌)",경기도 수원시 영통구 매탄동 1338,37.257,127.0438,16~20,031-217-4128,031-217-4129,656,1999-10-18,2002-04-30,2025-08-15
매탄주공그린빌4단지,"경기도 수원시 영통구 동탄원천로915번길 33 (매탄동, 주공그린빌)",경기도 수원시 영통구 매탄동 1345,37.256,127.044,20,031-217-8017,031-217-8018,461,1999-11-12,2002-05-07,2025-08-15
매탄주공그린빌5단지,"경기도 수원시 영통구 동탄원천로881번길 35 (매탄동, 주공그린빌)",경기도 수원시 영통구 매탄동 1282,37.255,127.0415,18,031-217-9166,031-217-9167,732,1998-12-26,2002-05-07,2025-08-15
망포역아이파크,"경기도 수원시 영통구 영통로200번길 20 (망포동, 망포마을 현대1차 아이파크)",경기도 수원시 영통구 망포동 693,37.2433,127.0577,10~19,031-202-9103,031-202-9104,554,1999-11-10,2002-06-28,2025-08-15
꽃뫼양지마을 현대,"경기도 수원시 팔달구 화산로17번길 6 (화서동, 꽃뫼양지마을 현대아파트)",경기도 수원시 팔달구 화서동 700,37.2874,126.9855,21~23,031-227-6117,031-227-6118,260,1999-09-10,2002-07-12,2025-08-15
동수원자이2차,"경기도 수원시 영통구 태장로71번길 19 (망포동, 동수원 자이2차 아파트)",경기도 수원시 영통구 망포동 690,37.2396,127.0532,16~25,031-205-1083,031-205-9083,816,1999-06-28,2002-07-24,2025-08-15
망포마을 벽산e빌리지,"경기도 수원시 영통구 동탄지성로488번길 22 (망포동, 망포마을 벽산 이빌리지)",경기도 수원시 영통구 망포동 696,37.2378,127.0471,16,031-205-0291,031-205-0292,344,2000-05-24,2002-07-25,2025-08-15
청솔마을 주공6단지,"경기도 수원시 장안구 천천로21번길 33 (정자동, 청솔마을주공아파트)",경기도 수원시 장안구 정자동 922-2,37.2929,126.986,16~25,031-268-9031,031-268-9032,583,2008-12-26,2002-09-14,2025-08-15
오목천청구2차,"경기도 수원시 권선구 매송고색로506번길 17 (오목천동, 청구2차아파트)",경기도 수원시 권선구 오목천동 923-11,37.2439,126.9619,11~21,031-298-3386,031-298-3387,490,1997-06-27,2002-09-30,2025-08-15
영통3차 풍림아이원,"경기도 수원시 영통구 봉영로1482번길 18 (영통동, 영통3차 풍림아이원아파트)",경기도 수원시 영통구 영통동 982-3,37.2448,127.0662,25,031-202-2622,031-205-2623,494,1999-12-22,2002-10-25,2025-08-15
대월마을 주공,"경기도 수원시 장안구 천천로74번길 35 (정자동, 대월마을 주공아파트)",경기도 수원시 장안구 정자동 927,37.3,126.9862,20~25,031-242-9082,031-243-9082,805,1998-12-26,2002-10-25,2025-08-15
망포마을 현대2차아이파크,"경기도 수원시 영통구 태장로 45 (망포동, 망포마을현대2차아이파크)",경기도 수원시 영통구 망포동 684-1,37.2395,127.052,25,031-203-5516,031-203-5517,489,1999-10-19,2002-10-31,2025-08-15
신성미소지움,"경기도 수원시 팔달구 중부대로 193 (우만동, 신성미소지움아파트)",경기도 수원시 팔달구 우만동 138,37.2776,127.037,25,031-212-2491,031-212-2492,272,1999-12-30,2002-12-18,2025-08-15
동수원자이3차,"경기도 수원시 영통구 영통로 111 (망포동, 엘지동수원자이아파트)",경기도 수원시 영통구 망포동 698,37.2372,127.0558,20~25,031-202-1292,031-202-1354,924,1999-12-30,2003-06-27,2025-08-15
월드메르디앙,"경기도 수원시 팔달구 권광로 373 (우만동, 월드메르디앙 아파트)",경기도 수원시 팔달구 우만동 600,37.2803,127.0364,21~30,031-216-0550,031-216-0559,2063,2001-08-13,2004-06-14,2025-08-15
동수원쌍용스윗닷홈3차,"경기도 수원시 영통구 태장로7번길 38 (망포동, 쌍용3차아파트)",경기도 수원시 영통구 망포동 701-1,37.239,127.0474,8~15,031-202-2442,031-202-1344,287,2002-06-19,2004-09-24,2025-08-15
동수원쌍용스윗닷홈2차,"경기도 수원시 영통구 태장로54번길 122 (망포동, 동수원2차 쌍용스윗닷홈)",경기도 수원시 영통구 망포동 703,37.2343,127.0525,15,031-202-6624,031-203-6624,274,2002-06-18,2004-11-29,2025-08-15
한라비발디2단지,"경기도 수원시 권선구 당진로31번길 16 (당수동, 한라비발디아파트 2단지)",경기도 수원시 권선구 당수동 742,37.2921,126.9402,17~25,031-409-1991,031-409-1993,499,2002-07-13,2004-11-30,2025-08-15
한라비발디1단지,"경기도 수원시 권선구 당진로15번길 19-10 (당수동, 한라비발디아파트 1단지)",경기도 수원시 권선구 당수동 743,37.2909,126.9389,17~25,031-409-1881,031-409-1841,473,2002-07-13,2004-11-30,2025-08-15
교동풍림아이원,"경기도 수원시 팔달구 매산로104번길 10 (교동, 풍림아이원아파트)",경기도 수원시 팔달구 교동 185-7,37.2701,127.0123,10,031-224-6033,031-224-7033,156,1994-03-31,2005-04-07,2025-08-15
금강에스쁘아,"경기도 수원시 장안구 영화로71번길 24 (정자동, 수원정자금강에스쁘아아파트)",경기도 수원시 장안구 정자동 69-45,37.2926,127.0051,18,031-244-1360,031-244-1360,164,2002-12-16,2005-04-29,2025-08-15
율전벽산블루밍,"경기도 수원시 장안구 덕영대로407번길 63-27 (율전동, 벽산블루밍아파트)",경기도 수원시 장안구 율전동 산 48-4,37.3049,126.9658,22,031-255-3477,031-255-3445,318,2002-05-02,2005-04-29,2025-08-15
밤꽃마을주공아파트,"경기도 수원시 장안구 상률로12번길 28 (율전동, 밤꽃마을주공아파트)",경기도 수원시 장안구 율전동 545,37.3069,126.9668,22,031-256-6595,031-256-6596,389,1999-12-30,2005-09-08,2025-08-15
밤꽃마을뜨란채,"경기도 수원시 장안구 상률로 32 (율전동, 밤꽃마을뜨란채)",경기도 수원시 장안구 율전동 546,37.3067,126.9689,23,031-271-2152,031-271-2153,1078,1999-12-30,2005-09-13,2025-08-15
방죽마을 영통뜨란채,"경기도 수원시 영통구 영통로200번길 156 (망포동, 방죽마을영통뜨란채)",경기도 수원시 영통구 망포동 715,37.2432,127.0658,25,031-206-2242,031-206-2243,699,2001-09-06,2005-09-21,2025-08-15
"서수원쌍용스윗닷홈(1차,2차)","경기도 수원시 권선구 당진로31번길 51-20 (당수동, 서수원1차쌍용스윗닷홈)",경기도 수원시 권선구 당수동 745,37.2922,126.937,15,031-419-9498,031-509-9498,420,2003-06-18,2005-09-23,2025-08-15
우림필유,"경기도 수원시 권선구 고색로 8 (고색동, 우림필유아파트)",경기도 수원시 권선구 고색동 915,37.2483,126.9777,15,031-298-9266,031-298-9265,488,2003-08-19,2005-09-30,2025-08-15
율전이안,"경기도 수원시 장안구 율전로 73 (율전동, 율전 이안 아파트)",경기도 수원시 장안구 율전동 375-2,37.2963,126.967,15,031-297-6237,031-297-6238,383,2003-01-22,2005-10-10,2025-08-15
상송마을주공,"경기도 수원시 권선구 오목천로 15 (오목천동, 상송마을주공아파트)",경기도 수원시 권선구 오목천동 946,37.2404,126.9639,10~15,031-227-6689,031-227-6690,1185,2001-12-31,2005-10-31,2025-08-15
센트라우스,"경기도 수원시 권선구 세화로168번길 15 (서둔동, 센트라우스)",경기도 수원시 권선구 서둔동 371,37.2671,126.9948,15,031-298-6695,031-298-6685,1094,2003-09-09,2005-11-24,2025-08-15
희훈루체팰리스,"경기도 수원시 장안구 경수대로994번길 46 (송죽동, 희훈루체팰리스아파트)",경기도 수원시 장안구 송죽동 68-4,37.3069,127.0046,15,031-247-8208,031-247-8209,176,2003-09-02,2005-12-07,2025-08-15
오목천동 푸르지오2단지,"경기도 수원시 권선구 서수원로183번길 2 (오목천동, 오목천동 푸르지오 2단지)",경기도 수원시 권선구 오목천동 956,37.2436,126.9685,14~15,031-297-4825,031-297-4826,413,2003-06-30,2006-01-23,2025-08-15
오목천동 푸르지오1단지,"경기도 수원시 권선구 서수원로 219 (오목천동, 오목천동 푸르지오 1단지)",경기도 수원시 권선구 오목천동 951,37.2466,126.967,15,031-298-7414,031-298-7515,380,2003-06-30,2006-01-23,2025-08-15
수원로얄팰리스,"경기도 수원시 장안구 송정로 83 (송죽동, 수원로얄팰리스)",경기도 수원시 장안구 송죽동 514,37.2961,127.0083,31,031-888-7222,031-888-7223,614,2003-05-14,2006-01-27,2025-08-15
현대힐스테이트,"경기도 수원시 영통구 권광로260번길 36 (매탄동, 현대힐스테이트아파트)",경기도 수원시 영통구 매탄동 176-6,37.2721,127.0419,25,031-217-9502,031-217-9458,2328,2002-07-09,2006-02-28,2025-08-15
경남아너스빌,"경기도 수원시 장안구 만석로159번길 31 (정자동, 경남아너스빌)",경기도 수원시 장안구 정자동 297-9,37.3016,126.9974,15,031-244-1155,031-244-1158,422,2003-05-13,2006-04-26,2025-08-15
한라녹턴,"경기도 수원시 권선구 세지로 35 (세류동, 한라녹턴아파트)",경기도 수원시 권선구 세류동 1248,37.2551,127.0154,10,031-892-0001,031-892-8830,195,2004-02-16,2006-07-27,2025-08-15
영통아이파크,"경기도 수원시 영통구 삼성로320번길 62 (영통동, 영통아이파크)",경기도 수원시 영통구 영통동 7-11,37.266,127.0711,26~28,031-206-6552,031-206-6553,212,2004-04-27,2006-07-28,2025-08-15
"영통마젤란21(1단지,2단지)","경기도 수원시 영통구 영통로154번길 116 (망포동, 영통 마젤란21 아파트 (2단지))",경기도 수원시 영통구 망포동 509-7,37.2409,127.0628,15,031-203-5564,031-203-8166,267,2004-11-03,2006-11-29,2025-08-15
"영조아름다운나날(1단지,2단지)","경기도 수원시 권선구 서수원로 161-11 (오목천동, 영조아름다운나날1단지)",경기도 수원시 권선구 오목천동 961,37.241,126.9689,14~15,031-298-5326,031-298-5327,372,2003-06-18,2006-12-15,2025-08-15
